id,tagline,occurrence,publication,lin,summary,recommendations,location
RO-1996-105,"Shunt service and hi-rail vehicle, collision, St George's Street near Avondale, 10 May 1996",10 May 1996,29 Jan 1997,96-105,"At 1009 hours on Friday, 10 May 1996, Tranz Rail Limited's Shunt L8, northbound from Westfield to Henderson, collided with a Hi-Rail vehicle near St George's Street on the North Auckland Line. The driver of the Hi-Rail vehicle had time to jump from the vehicle and no injuries were sustained. The cause of the collision was inappropriate authorisation for the progress of Shunt L8.",022/96,Avondale
RO-1996-106,"Express passenger train T903, collision with motor vehicle, Templeton, Canterbury, 17 May 1996",17 May 1996,19 Mar 1997,96-106,"On Friday, 17 May 1996, at about 0845 hours, a truck and semi-trailer travelling east on Kirk Road, Templeton moved over the level crossing and stopped to gain entry to State Highway 1 with the semi-trailer foul of the railway line. The Southerner passenger express collided with the rear of the semi-trailer unit. There were no injuries. The cause was insufficient stacking room between the level crossing and the adjacent parallel State Highway. Safety deficiencies identified were the absence of any controls or advice for legal road vehicles with a length exceeding the stacking room available.","023/96, 024/96, 064/96",Templeton
RO-1996-107,"Diesel Multiple Unit, passenger incident, Boston Road Station Auckland, 28 May 1996",28 May 1996,18 Sep 1996,96-107,"At about 1620 hours on Tuesday 28 May 1996, a Papatoetoe passenger with a baby in a pushchair boarded a Waitakere train by mistake at Newmarket Station. She alighted from the train at Boston Road Station, where the train had made an unscheduled stop. The pushchair was trapped in the doors and the train moved a short distance. The passenger rescued the baby from the pushchair before the train stopped under emergency braking. A number of contributory factors were identified, but no single cause. Safety issues identified include train crew actions in the event of an unscheduled stop or platform overrun, modifications to the door operating circuitry on diesel multiple units and misidentification of trains at Newmarket Station.",NA,Newmarket
RO-1996-108,"Express passenger train T404 Geyserland Express, derailment, Hamilton, 31 May 1996",31 May 1996,7 May 1997,96-108,"On Friday, 31 May 1996, at about 2034 hours Train 404, the Rotorua - Auckland Geyserland Express, derailed at slow speed while crossing from the East Passenger Loop to the West Loop at Hamilton. There were no injuries. The cause of the derailment was an axle failure on the trailing axle of the railcar. Safety issues identified were the need to improve the inspection and testing regime for Silver Fern axles.","044/96, 045/96, 046/96, 047/96, 048/96",Hamilton
RO-1996-109,"Locomotive DFT 7199, pilot fell from locomotive, Westfield Depot Auckland, 7 June 1996",7 Jun 1996,29 Jan 1997,96-109,"At about 0945 hours on Friday 7 June 1996, a depot staff member, while piloting a DFT locomotive at Westfield, fell from the front cowcatcher step. He had given an unexpected ""stop"" hand signal to the driver, who responded with an immediate full brake application, and the resulting decelerative forces probably caused the pilot to overbalance and lose his grip. The pilot was run over by the locomotive's cowcatcher, sustaining serious injuries from which he died six days later.",NA,Westfield
RO-1996-110,"Express passenger train T401 Geyserland Express, struck signal maintainer, Huntly, 13 June 1996",13 Jun 1996,7 May 1997,96-110,"On Thursday, 13 June 1996 at about 1035 hours Train 401, the southbound Geyserland Express passenger service, struck and killed a signal maintainer working alongside the track. The causes were the signal maintainer's lack of awareness of the train's approach and the absence of any warning to the locomotive engineer of the presence of this staff member. A safety issue identified was the need for the wearing of high-visibility clothing by all staff in such situations to be mandatory.","036/96, 037/96",Huntly
RO-1996-115,"Yard shunt P35, shunter fell into path of wagon, Palmerston North, 6 September 1996",6 Sep 1996,4 Jul 1997,96-115,"On Friday, 6 September 1996, at about 0200 hours, P35 Shunt operated by Tranz Rail Limited was shunting in Palmerston North Yard. During a propelling movement to place wagons the shunter fell under the wagons and was killed instantly. Safety issues addressed in the report are the frequency of shunting fatalities, and the effectiveness of compliance monitoring of recently certified and relatively inexperienced staff.","016/97, 017/97, 018/97, 026/97",Palmerston North
RO-1996-116,"Passenger excursion train TB02, loss of gangway, near Opapa, 25 October 1996",25 Oct 1996,19 Sep 1997,96-116,"At about 0900 hours on Friday, 25 October 1996, a gangway fell from a Steam Incorporated passenger excursion train being operated by Tranz Rail Limited between Paekakariki and Wairoa. The gangway fell clear of the track near Opapa. The carriage doors on either side were locked as a safety measure and the train continued its journey. The gangway fell off because it was ineffectively restrained. Safety issues identified were the suitability and dissemination of standards applying to other rail service operators using Tranz Rail Limited's railway line, the lack of procedures for ensuring compliance with such standards, the suitability of the Tranz Rail Limited carriage supplied, and the lack of procedures, training and supervision to ensure that all persons were capable of carrying out their responsibilities within the safety system applicable to rail charter operations.","029/97, 030/97, 031/97, 050/97, 055/97",Opapa
RO-1996-117,"Electric Multiple Unit 6210, Mis. 59 irregularity, McKays, 6 November 1996",6 Nov 1996,4 Jul 1997,96-117,"On Wednesday, 6 November 1996, at approximately 0648 hours Train 6210, a northbound suburban Electric Multiple Unit service, was stopped by a red signal aspect on the double-track section south of McKays. The Train Control Officer had almost completed the process of issuing a Mis. 59 authority to allow the train to pass the Departure signal at ""Stop"" and enter the single line section ahead when the locomotive engineer of Train 6210 saw Train 203, the southbound Northerner passenger express, approaching him on the single line section he was about to receive authority to enter. This fortuitous arrival of Train 203 avoided the possible head-on collision which may have resulted if the authority had been issued and acted on with Train 203 in the section. The cause of the incident was the failure of the Train Control Officer to establish that no trains were occupying the block section for which the Mis. 59 was going to be issued. Safety issues identified were the Train Control Officer's failure to follow the procedures required before issuing a Mis. 59, the lack of resilience of the procedures to avoid unacceptable consequences arising from such omissions, the Train Control Officer's fitness for duty and the suitability of the procedures for rostering Train Control Officers.",NA,Mackays
RO-1997-102,"Freight train 270, collision with roadroller, Mangapehi, 12 March 1997",12 Mar 1997,14 Nov 1997,97-102,"On Wednesday, 12 March 1997, at about 1615 hours a roadroller entered State Highway 30 from a side road to cross Bennydale Road level crossing at Mangapehi, and moved onto the level crossing ahead of an approaching train. The level crossing alarms were operating. The driver of the roadroller was killed in the resulting collision. The cause was the driver's apparent failure to see or hear the warning devices. A safety issue identified was the suitability of control procedures for the movement of roadrollers and similar machines over level crossings.",058/97,Mangapehi
RO-1997-103,"Electic Multiple Unit 3656, collision with motor vehicle, Trentham, 22 March 1997",22 Mar 1997,30 Jan 1998,97-103,"On Saturday, 22 March 1997, at approximately 1848 hours Train 3656, a northbound suburban electric multiple unit service, collided with a car on Sutherland Avenue level crossing, Trentham. The three occupants of the car suffered minor injuries. The level crossing protection was not activated until the train was almost on the crossing. The cause of the incident was the failure of Train 3656 to stop at a signal displaying a red aspect. Safety issues identified were the locomotive engineer's failure to observe and act on the signal indications, the pattern of signal indications for up trains stopping at Heretaunga, and the risk of collision with road vehicles arising from signals sited close to protected level crossing being passed at danger.",080/97,Trentham
RO-1997-104,"Express freight train 537, signal passed at danger, Ngaruawahia, 15 April 1997",15 Apr 1997,30 Jan 1998,97-104,"On Tuesday, 15 April 1997, at approximately 2120 hours the locomotive engineer of Train 537, a southbound express freight, reported that the level crossing alarms at Ellery Street level crossing at Ngaruawahia had failed to operate for the passage of the train. Fortunately, no accident occurred. Tranz Rail Limited's initial investigation on the night of the incident revealed the signal controlling the approach over the crossing had both filaments blown on the stop indication bulb. The Commission's subsequent investigation concluded that the train had passed the signal at stop. Safety issues identified were the need for locomotive engineers to be aware of the purpose and function of Approach Signals, and the need for timely notification of incidents to the Land Transport Safety Authority.",NA,Ngaruawahia
RO-1997-107,"Silver Fern railcar RM24, collision with pedestrian, Glen Innes, 18 June 1997",18 Jun 1997,6 Mar 1998,97-107,"On 18 June 1997, at approximately 1150 hours, Silver Fern railcar RM24 running empty to depot on the down main collided with a pedestrian who had just disembarked from an up train and was using a pedestrian level crossing to gain access to Glen Innes shopping centre. The pedestrian was killed by the collision. Safety issues identified were the rationale for determining the level of protection appropriate to particular pedestrian level crossing situations and the acceptability of subways as the only access to island station platforms.","093/97, 094/97",Glen Innes
RO-1997-108,"Express freight train 320, container struck bridge, Puhinui, 12 July 1997",12 Jul 1997,22 May 1998,97-108,"On Saturday, 12 July 1997, at about 0322 hours an empty container on Train 320, a Mount Maunganui to Westfield express freight train, struck a footbridge at Puhinui, south of Auckland. The footbridge pier was badly damaged, as was a road overbridge further north, before the container fell from the train, blocking the adjacent down main. There were no injuries. The cause of the collision was movement of an inadequately restrained container. Safety issues identified were: twistlock serviceability; compliance with container security requirements; compliance monitoring of container security; and the suitability of the Mount Maunganui resources and operational practices to deal safely and effectively with the traffic offering.",NA,Puhinui
RO-1997-109,"Express freight train 138, derailment, Te Kauwhata, 30 July 1997",30 Jul 1997,22 May 1998,97-109,"On Wednesday 30 July 1997, at about 0952 hours, an express freight train operated by Tranz Rail Limited derailed when it entered a crossover at the south end of Te Kauwhata while travelling too fast. The locomotive and all seven wagons in the train were derailed, with substantial damage to all vehicles and the track. The locomotive engineer suffered a serious injury. The locomotive engineer had incorrectly interpreted a signal aspect and failed to slow the train for passage through the crossover. A safety issue identified in this report is the potential for locomotive engineers to misinterpret medium speed indications on closely spaced signals where only one signal predominantly displays this aspect.","074/97, 075/97",Te Kauwhata
RO-1997-110,"Shunt service, level crossing collision, near Morrinsville, 4 September 1997",4 Sep 1997,22 May 1998,97-110,"At 1824 hours on Thursday 4 September 1997 Shunt M28 from Morrinsville to Te Rapa collided with an ""A Train"" milk tanker and trailer on a private level crossing, resulting in serious injury to the tanker driver. The safety issues identified were lack of stacking distance and proper signage on the road approaching the level crossing, the potential for inadequate safety provisions in historic deeds of grant for private level crossings, the tanker operator's lack of awareness of the hazards associated with private level crossings negotiated by their drivers and the factors affecting the detection of locomotives approaching level crossings at night.","096/97, 099/97, 102/97, 103/97, 115/97, 116/97",Morrinsville
RO-1997-111,"Express freight train C25, log fall from wagon, Tokoroa, 14 October 1997",14 Oct 1997,6 Mar 1998,97-111,"On Tuesday 14 October 1997, at about 0815 hours a 3.7 m log fell from a wagon forming part of Train C25, a Kinleith to Mount Maunganui log train, as it passed through Tokoroa. The log cartwheeled for 38 m, cleared a 1.8 m high fence and came to rest on a trampoline in a residential property. The fall occurred because the combination of load height and spacing of wagon cradles was insufficient to restrain the 3.7 m log. Safety issues identified were the adequacy of the Tranz Rail Freight Handling Code covering loading of 3.7 m logs, the interpretation of the code, the suitability of current Tranz Rail Limited rolling stock to transport 3.7 m logs and compliance monitoring of log loadings.",NA,Tokoroa
RO-1997-112,"Passenger train T1605, disabled, Rimutaka Tunnel, 17 October 1997",17 Oct 1997,22 May 1998,97-112,"On Friday 17 October 1997, Train 1605 was conveying approximately 60 passengers from Masterton to Wellington on its scheduled service. At 1050 hours when 2.5 km into the 8.8 km long Rimutaka Tunnel the train was stopped as a result of an electrical failure in the locomotive control gear. At 1258 hours a relief locomotive was able to clear the disabled service from the tunnel. There were no injuries. Safety issues identified were the lack of any integrity check of the telephone system within the tunnel, the lack of co-ordination of emergency responses and the lack of communication which hampered prompt evacuation of the passengers and crew.",011/98,Rimutaka
RO-1997-114,"Train 801, tunnel door closed on train, Otira Tunnel, 12 November 1997",12 Nov 1997,11 Sep 1998,97-114,"On Wednesday 12 November 1997, at about 1140 hours, the door at the west portal of the Otira Tunnel closed on the side of Train 801, the westbound TranzAlpine. The impact caused minor damage and there were no injuries. The door closed because of an unintended activation of the control system by Train 801. An optical sensor which could have prevented the closure was not functioning due to a loose electrical connection. Safety issues identified were a deficiency in the signalling design logic for the door control and the lack of a fail-safe optical sensor safety system.",048/98,Otira
RO-1998-101,"Train 721, heat buckle derailment, near Scargill, 5 February 1998",5 Feb 1998,11 Sep 1998,98-101,"On Thursday, 5 February 1998 at about 1630 hours, Train 721, a southbound Picton to Christchurch express freight was near Scargill when the locomotive engineer noticed a buckle in the track ahead. He was unable to slow the train significantly in the limited distance available and although the locomotive and the three leading wagons traversed the buckled track, the following eleven wagons became derailed before the train came to a stop. A safety issue identified was the failure of the safety system to achieve adequate protection of a predictable weak spot.",NA,Scargill
RO-1998-102,"Train 924, derailment, near Balclutha, 16 February 1998",16 Feb 1998,11 Sep 1998,98-102,"On Monday, 16 February 1998 at approximately 1630 hours, Train 924, a northbound Invercargill to Dunedin express freight was travelling at the maximum allowable line speed of 80 km/h when the locomotive engineer noticed a minor alignment ripple in the track ahead. The locomotive negotiated this area with only a slight lurch but 14 of the wagons in the body of the train became derailed as they traversed the misalignment. Similar occurrences could be prevented by reinforcing known procedures for identifying predictable high risk areas and destressing or applying appropriate speed restrictions. Two safety recommendations were made to the operator to effect these measures.",NA,Balclutha
RO-1998-103,"Train 1603, collision with transition head, near Carterton, 9 March 1998",9 Mar 1998,30 Oct 1998,98-103,"On Monday, 9 March 1998, at about 0655 hours Train 1603, a Masterton to Wellington suburban passenger service, collided with a transition head which had fallen from the locomotive cowcatcher. Damage to the underside of the train resulted in a 3000 litre diesel fuel spillage. The cause of the collision was a transition head becoming displaced in transit due to inadequate stowage details. Safety deficiencies identified were: The lack of adequate investigation of the work necessary to convert overseas rolling stock for New Zealand coupling requirements. The failure of the safety system to prevent unauthorised modification of rolling stock. The suitability of the fixing detail for stowage of transition heads on cowcatchers was identified as a safety issue. The Commission investigated this incident because of the potential for derailment associated with the loss of such a heavy and irregular object during transit.","067/98, 068/98, 069/98",Carterton
RO-1998-104,"Train 928, derailment, near Purakanui, 9 March 1998",9 Mar 1998,11 Sep 1998,98-104,"On Monday 9 March 1998 at about 2359 hours, nine wagons of Train 928, a northbound Dunedin to Christchurch express freight, derailed near Purakanui at low speed. The train continued for approximately four kilometres before a brake application alerted the locomotive engineer to the problem. The point of the derailment coincided with that of an almost identical derailment involving Train 928 on 3 March 1998. Safety issues identified were the ability of track staff to identify and understand track related factors contributing to derailments and to make timely and safe decisions as to the remedial track work required before reopening the track to traffic.","037/98, 038/98, 039/98",Purakanui
RO-1998-105,"Train 235, derailment, Ngaruawahia, 14 March 1998",14 Mar 1998,23 Dec 1998,98-105,"On Saturday, 14 March 1998, at about 1802 hours a displaced stack of platform containers on Train 235, a Westfield to Wellington express freight train, struck a through-truss bridge at Ngaruawahia. As a result of the collision the train parted, six wagons were derailed, and major damage to the bridge occurred when five wagons and various loads concertinaed. The cause of the collision was the movement of inadequately restrained stacked platform containers. Safety issues identified were: the serviceability and uniformity of integral interlocking devices fitted to platform containers; the standards for transporting stacked platform containers internationally; and the understanding of and compliance with requirements for transporting stacked platform containers by rail. Three safety recommendations were made to address these issues. The Commission investigated this incident because of the potential for loads which have moved in transit to endanger other trains and third parties adjacent to the track.","015/98, 016/98, 017/98, 018/98, 019/98, 020/98, 021/98, 022/98, 023/98",Ngaruawahia
RO-1998-106,"Train 201, collision with displaced load, Longburn, 28 March 1998",28 Mar 1998,30 Oct 1998,98-106,"On Saturday 28 March 1998 at 1707 hours Train 201, the southbound Auckland to Wellington Overlander passenger express, struck a displaced load on Train 242, a Wellington to Palmerston North express freight train which was berthed in the Longburn loop. There were no injuries. Train 201 suffered superficial damage to the locomotive and carriages. Safety deficiencies identified were: the lack of appreciation of correct load securing requirements; insufficient training of staff involved in loading; the lack of adequate standards and procedures to prevent the use of unsuitable restraining devices. Three safety recommendations were made to address these deficiencies. The Commission investigated this incident because of the potential for loads which have moved in transit to endanger other trains and third parties adjacent to the track.","058/98, 059/98, 060/98",Longburn
RO-1998-107,"Train 411, wrong line running, Ngaruawahia, 15 May 1998",15 May 1998,14 May 1999,98-107,"On Friday 15 May 1998, at approximately 2220 hours, Train 411, a southbound express freight, was mistakenly routed on to the wrong main at Ngaruawahia. This operating irregularity was not responded to appropriately and the train was permitted to continue running in the down direction on the up main to Te Rapa, some 12 km south. Safety issues identified were the training and experience of staff used for relief duties in the Te Rapa signal box, the acceptance by locomotive running staff of inappropriate authorisation and the potential hazard to road traffic at level crossings during the wrong line running. A number of safety actions were taken by the operator and two safety recommendations were made to address the safety issues.","001/99, 002/99",Ngaruawahia
RO-1998-108,"Train 31, collision between carriages and detached engine, Pukeoware, near Pukekohe, 17 May 1998",17 May 1998,12 Mar 1999,98-108,"On Sunday 17 May 1998, at 1530 hours, the carriages of Glenbrook Vintage Railway Train 31 ran away down a grade and collided with the engine which had been detached for coaling during a scheduled stop at Pukeoware. One minor injury occurred to a passenger as a result of the low-speed collision.",104/98,Pukeoware
RO-1998-109,"Train 482, near collision, Tokoroa, 2 June 1998",2 Jun 1998,14 May 1999,98-109,"On Tuesday, 2 June 1998, Train 482 was running from Putaruru to Kinleith with a rake of six empty wagons. At approximately 0510 hours the train was stopped by a member of the public waving a torch just ahead of a main line blockage caused by wagons in the Tokoroa timber siding which had run away and derailed fouling the main line. The safety issues identified were the adequacy of the standards and procedures in place to protect the main line from possible wagon runaways on steeply graded sidings, and the adequacy of procedures to identify recurring problems and initiate appropriate follow up action. Four safety recommendations were made to Tranz Rail Limited to address these issues.","053/98, 054/98, 055/98, 057/98",Tokoroa
RO-1998-110,"Train 902, derailment, Islington, 28 June 1998",28 Jun 1998,8 Oct 1999,98-110,"On Sunday 28 June 1998, at approximately 1650 hours, Train 902, the northbound Southerner express passenger, derailed at Islington at slow speed. The rear of the train was routed to the down main when motorised points moved under the train. There were no injuries. Causal factors were non-compliances with intended procedures for points operation. Safety issues identified were the suitability of those procedures and the effectiveness of compliance monitoring. A number of safety actions were taken by the operator and 5 safety recommendations were made to address the safety issues.","022/99, 023/99, 024/99, 025/99",Islington
RO-1998-111,"Train 2125, collision with a youth, Henderson,, 17 August 1998",17 Aug 1998,8 Oct 1999,98-111,"At about 1525 hours on 17 August 1998 a group of secondary school students were crossing the Henderson rail yard at the south end. A cyclist in the group dismounted to cross the rails, and while pushing his bicycle fell in front of train 2125, a southbound diesel multiple unit passenger train. The youth received serious injuries requiring amputation of one leg. The safety issue identified was the established trespass in the area, despite the presence of a pedestrian overbridge. A number of safety actions were taken by the operator, the school, the local authority and other community groups to address the problem at Henderson, and 7 safety recommendations were made to address the general problem of established trespass.","091/98, 092/98, 093/98,094/98, 095/98, 096/98, 097/98",Henderson
RO-1998-112,"Yard shunt, log fall from wagon, Mount Maunganui, 25 August 1998",24 Aug 1998,23 Dec 1998,98-112,"On Wednesday, 25 August 1998 a number of 3.7 m long logs fell from the last wagon of a rake of loaded log wagons in Mount Maunganui railway yard. The loss of load occurred because the logs were not adequately restrained by the cradle supports at either end. A safety issue identified was the adequacy of the code covering the securing of 3.7 m logs on standard log wagons. The Commission investigated this incident because of the potential for displaced logs to endanger other trains and third parties adjacent to the track.",098/98,Mount Maunganui
RO-1998-114,"Train GR7 (EM 80 track evaluation car) and a Hi-rail vehicle, near collision, Pines, 10 September 1998",10 Sep 1998,12 Mar 1999,98-114,"On Thursday, 10 September 1998, an on-track maintenance group had just finished packing up their two hi-rail vehicles for off-tracking when they noticed Train GR7, the EM80 track evaluation car, approaching from the north and approximately 2.7 km distant. The ganger managed to contact the locomotive engineer using the train control radio and the train was brought to a stop well clear of the hi-rail vehicles. The cause of the near collision was the drawing of a maintenance occupation on the train control diagram approximately 10 km south of its actual location. The safety deficiency identified was the lack of procedures to ensure that movements and occupations were correctly plotted on the train control diagram.","100/98, 101/98",Kaikoura
RO-1998-115,"Train 823, runaway wagons, Middleton, 30 September 1998",30 Sep 1998,14 May 1999,98-115,"On Wednesday 30 September 1998, Train 823 was running from Lyttelton to Ngakawau with a rake of 18 empty coal wagons. At approximately 2340 hours the train stopped on the down main adjacent to the Middleton marshalling yard (5 km west of Christchurch) and the locomotives were then detached for servicing. A few minutes after the locomotives had cut off, the wagons started moving in an easterly direction down the grade towards Christchurch. In the course of their movement the wagons crossed two protected level crossings where insufficient warning time for road traffic was provided. The safety issues identified were non-compliance with the existing rules for securing detached vehicles and the practice of leaving detached wagons on the main line.","102/98, 103/98",Middleton
RO-1998-116,"Train 9248, derailment, Wadestown, 15 October 1998",15 Oct 1998,3 Dec 1999,98-116,"On Thursday 15 October 1998, at about 1407 hours, Train 9282, comprising 4 English Electric multiple unit cars running from Wellington to Johnsonville, derailed while negotiating the turnout from the up main to the down main at the south end of Wadestown. The 2 leading cars were derailed. There were no injuries. A worn switch rail on the turnout which permitted 2 bogies to be directed to the up main as the remainder of the train followed the intended route to the down main caused the derailment. A safety issue identified was the failure of the Tranz Rail inspection regime to detect and correct the worn switch before it reached derailment condition.",046/99,Wadestown
RO-1998-117,"Train 700, collision with No. 2 shunt, Rangiora, 21 October 1998",21 Oct 1998,16 Mar 2000,98-117,"On Wednesday 21 October 1998, at approximately 0840 hours, Train 700, the northbound Coastal Pacific express passenger, collided with No. 2 shunt standing in the loop at Rangiora. Train 700 was unintentionally routed onto the loop as it approached Rangiora on the main line. A passenger and crew member sustained minor injuries in the collision. Factors contributing to the collision were: the excess tonnage being hauled by the shunt, the limitations of the automatic points operation logic designed into this type of Track Warrant Station and the failure of the LE of Train 700 to register and respond to the points indication displayed which gave warning of a loop setting ahead which he did not expect. Safety issues identified included: the suitability of procedures for controlling tonnage; the desirability of the locomotive engineers of passenger trains being required to determine stopping needs at certain localities in Track Warrant areas; the visibility of the purple loop light on points indicators; the reliance on compliance with regulations as the only defence against foreseeable human error without sufficient additional defences to minimise risk exposure. Five safety recommendations were made to the operator.","082/99, 083/99, 084/99, 085/99, 086/99",Rangiora
RO-1998-119,"Train 2120, train movement while passenger alighting, Swanson, 20 October 1998",20 Oct 1998,9 Jul 1999,98-119,"On Tuesday 20 October 1998, at approximately 1258 hours, the sliding doors on an Auckland to Waitakere commuter train closed on a child in a pushchair as the mother was endeavouring to lift the pushchair from the train to the platform at Swanson. While attempts were being made to free the pushchair the train moved slowly forward before the doors were opened sufficiently to allow the pushchair to be freed. The safety issues identified were the possibility of diesel multiple units being able to move from rest without all doors being closed, and the lack of compliance with procedures laid down for passenger safety. Two safety recommendations were made to Tranz Rail Limited to address these issues.","116/98, 117/98",Swanson
RO-1998-120,"Train 700, dragging brake gear, Hapuku (near Kaikoura), 17 November 1998",17 Nov 1998,14 May 1999,98-120,"On Tuesday, 17 November 1998, at approximately 1040 hours Train 700, the northbound Coastal Pacific passenger express, was travelling through Hapuku when dragging brake gear on a high speed goods wagon at the head of the train struck and damaged the main line turnouts. The train continued for a further 26 km before the locomotive engineer noted track ballast being thrown up by the dragging brake gear and stopped the train. Dragging brake gear had the potential to damage facing turnouts to the extent that the points could move under a train and direct part of the train to a different route. Any such diversion of part of a passenger train had a high probability of leading to a serious derailment. Safety deficiencies identified were the inadequacy of the brake rodding safety straps and the failure of Tranz Rail Limited's safety system to prevent or detect dragging brake gear creating a danger to crew and passenger safety. Two safety recommendations were made to address these deficiencies.","003/99, 004/99",Kaikoura
RO-1999-101,"Train 230, derailment, McKays Crossing, 25 February 1999",25 Feb 1999,26 May 2000,99-101,"At approximately 2240 hours on Thursday, 25 February 1999, Train 230, a northbound express freight, was travelling on the up main just south of McKays Crossing when dragging brake gear on a wagon near the centre of the train hit the spreader bar of the safety turnout where the line converged to single track. The impact caused the facing points to open and derail 19 of the following wagons. The derailment brought down part of the 1500V overhead traction line and blocked State Highway 1. Fatigue breaks in a brake beam assembly caused it to fail allowing the brake gear to drop. Safety issues identified included quality control of the brake beams to withstand likely cyclic loading. Three safety recommendations were made to the operator.","005/00, 006/00, 007/00",Paekakariki
RO-1999-102,"Train 523, track warrant overrun, Whangaehu,, 9 March 1999",9 Mar 1999,8 Oct 1999,99-102,"On Tuesday 9 March 1999, Train 523, a southbound New Plymouth to Palmerston North express freight, overran Whangaehu without a valid track warrant and continued approximately 18 km into the next section before the error was realised. There was no opposing traffic or obstruction and once the overrun was discovered a valid warrant was issued and a relief locomotive engineer completed the remainder of the journey. The overrun resulted from a lapse in concentration by the locomotive engineer.",NA,Whangaehu
RO-1999-103,"Middle ferry shunt and siding shunt, collision, Wellington Ferry Terminal, 11 March 1999",11 Mar 1999,16 Mar 2000,99-103,"On Wednesday 11 March 1999, at approximately 1120 hours, a head-on collision occurred between the middle ferry shunt and the siding shunt at Wellington ferry terminal. The locomotive engineer's seat in the siding shunt locomotive was torn from its mountings, and the locomotive engineer was propelled to the front of the cab, sustaining lacerations and concussion. Two shunters riding on the leading ends of their respective shunts were able to jump clear before the collision. The safety deficiencies identified included: the failure of existing procedures to prevent a head-on collision involving opposing shunt movements; the lack of understanding of staff as to the application of the procedures to be adopted when entering the work area of another shunt. Two safety recommendations were made to address these issues.","016/99, 017/99",Wellington
RO-1999-104,"Train 1613, passenger safety incident, Featherston, 3 April 1999",3 Apr 1999,3 Dec 1999,99-104,"On Saturday 3 April 1999, Train 1613, the southbound Masterton to Wellington passenger service, departed from Featherston while a scout party and an adult passenger were still loading their gear into the van. Three scouts were left on the platform and a fourth scout and the adult travelled to Upper Hutt in the unlit van. The scouts were at risk as they either alighted from, or attempted to board, the moving train during departure. The guard was unaware of the scouts' presence in the van. The incident occurred due to a failure to ensure passenger safety prior to the departure of the train. A safety issue identified was the lack of adequate procedures to ensure passenger safety prior to giving right of way. One safety recommendation was made to the operator.",037/99,Featherston
RO-1999-106,"Train 8203, fumes from locking brakes, Kaiwharawhara, 27 April 1999",27 Apr 1999,3 Dec 1999,99-106,"On Tuesday 27 April 1999, Train 8203, a southbound Porirua to Wellington electric multiple unit train, departed Takapu Road at about 0800 hours. Due to partially locked-on brakes on the fifth car of the six-car consist, acrid fumes given off from the composition brake blocks entered the three rear cars. The resulting strong smelling ""haze"" caused discomfort and anxiety to passengers as the train passed through two tunnels on the way to Kaiwharawhara. Safety issues identified were the appropriateness of the training of passenger train staff in managing foreseeable operating irregularities and the lack of certification of part-time staff with respect to their role in such circumstances. Two safety recommendations were made to the operator.","038/99, 039/99",Kaiwharawhara
RO-1999-107,"Shunt L55 and Train 211, collision, Southdown, 10 May 1999",10 May 1999,23 Dec 1999,99-107,"On Monday, 10 May 1999, at approximately 1825 hours, Train 211, a southbound express freight, pulled out of the Auckland Freight Centre and stopped to have a defective tail end monitor replaced. While it was stopped, a DSG shunt locomotive that was operating on a converging road ran into the rear of the train. The remote control operator who was operating the shunt from the rear refuge of the locomotive was thrown off by the impact. Safety issues identified included the suitability of the procedures, and compliance monitoring in place to ensure safe operation of remote control locomotives, and the suitability of procedures to control conflicting movements in the Auckland Freight Centre. Three safety recommendations were made to the operator.","043/99, 044/99, 045/99",Southdown
RO-1999-108,"North yard shunt and No 1 shunt, collision, Middleton yard, 18 May 1999",18 May 1999,26 May 2000,99-108,"At approximately 1215 hours on Tuesday, 18 May 1999, a collision occurred between the north yard shunt and No. 1 shunt in Middleton yard. No injuries occurred but the locomotives sustained some damage and 3000 litres of diesel leaked from a ruptured fuel tank. The safety deficiencies identified included: the suitability of the procedures and compliance monitoring in place to ensure the safe operation of remote control locomotives; the failure of staff to follow defined procedures regarding the berthing of a main line shunting service into the defined work area of a yard shunting service.",NA,Middleton
RO-1999-109,"Track warrant overrun, Mosgiel, 21 May 1999",21 May 1999,26 May 2000,99-109,"At approximately 1140 hours on Friday, 21 May 1999, northbound Train 902 operating as the Southerner passenger express overran its track warrant limit by approximately 2 km between Mosgiel and Wingatui on the main south line. The overrun occurred when the locomotive engineer was possibly distracted by other events after planning a track warrant renewal for a location which differed from the normal pattern. The safety issues addressed in this report include the resilience of the track warrant system to accommodate deviations from established patterns, and the relieving of staff involved in operating irregularities. Two safety recommendations were made to the operator.","001a/00, 001b/00, 002/00",Mosgiel
RO-1999-111,"Yard shunt and stationary vehicle, collision, Kinleith, 26 May 1999",26 May 1999,23 Dec 1999,99-111,"On Wednesday 26 May 1999, at approximately 0730 hours, a rake of empty log wagons was being propelled from the Kinleith railway yard into Carter Holt Harvey Limited's siding when the leading wagon hit the ""bull-bars"" of a logging truck parked foul of the running road. The remote control operator who was on the leading wagon jumped clear just prior to the collision but stumbled and fell against the wagon and was dragged for approximately 10 m before rolling clear. He received broken ribs and abrasions as a result of the accident. Causal factors were the positioning of the truck foul of the running road and the lack of adequate control of the shunt. Safety issues addressed in this report include the lack of a suitable integrated operational agreement for the site and the effectiveness of the current procedures, training, and compliance monitoring of shunting practices to ensure safe operation. Five safety recommendations were made to the operator.","064/99, 065/99, 066/99, 067/99, 068/99",Kinleith
