ecom,tagline,occurrence,publication,lin,summary,recommendations,location
RO-2005-125,"Taieri Gorge Railway passenger Train 1919, train parting, Dunedin, 28 October 2005",28 Oct 2005,14 Sep 2006,05-125,"On Friday 28 October 2005, at about 1547, Taieri Gorge Railway passenger Train 1910, travelling from Middlemarch to Dunedin with a crew of 4 and 21 passengers, parted between the leading passenger car XPC412 and passenger car XPC562 as the train approached Dunedin Station. After the train parted, the brakes applied automatically and the 2 sections of the train stopped about 40 metres (m) apart. The train parting resulted from the catastrophic failure of the buffer at a flash butt weld that connected the cast coupler head and forged tail. There were no injuries to passengers or crew. The safety issues included: the identification and tracking of buffer components; the non-visual inspection of buffer components. In view of the safety actions taken by Taieri Gorge Railway Limited, no safety recommendations have been made to the operator. One safety recommendation has been made to the Director, Land Transport New Zealand to distribute this report to all heritage operators with gangway-connected rolling stock, and direct all mainline heritage operators to crack test non-alliance buffers on all their operational passenger carriages and guards’ vans",037/06,Dunedin
RO-2005-126,"Express freight Train 246, derailment, South Junction, 30 October 2005",30 Oct 2005,18 May 2006,05-126,"On Sunday 30 October 2005 at about 1820, wagon UKR84 on Train 246, a Wellington to Auckland express freight service, derailed at 32.08 km, South Junction, between Pukerua Bay and Paekakariki, on the North Island Main Trunk. The wagon derailed as its leading bogie passed over a set of trailing points. The left-hand leading bogie side frame had fractured through the top end pedestal and collapsed at about 28.733 km. The underside of the wagon then rested on the flange of the wheel and the brake rigging beneath the wagon dropped until the brake shoe rested on the head of the rail until the wagon derailed some 3.35 km further on. The derailed wagon was then dragged an additional 3.3 km before the train stopped at 35.38 km. The collapsed bogie side frame damaged trackside structures at Pukerua Bay (30.295 km) and Muri (31.300 km) and, after the wagon derailed at 32.08 km, damaged the track from there to 35.38 km. Safety issues identified included: the reporting and tracking of bogie component replacement; the non-visual inspection of bogie components. A previous safety recommendation covering the reporting and tracking of bogie components arising from another derailment has already been made to the Chief Executive of Toll NZ Consolidated Limited. A new safety recommendation has been made regarding the non-visual inspection of bogie components.","007/06, 019/06",South Junction
RO-2005-127,"Mainline shunting service Train M52, track occupation irregularity, Te Rapa, 27 October 2005",27 Oct 2005,12 Apr 2007,05-127,"On Thursday 27 October 2005 at about 1410, mainline shunting service Train M52 passed through a protected worksite between Te Rapa and Horotiu on the Up Main line of the North Island Main Trunk without authority from the protector of the worksite. The site protector was alerted to the imminent arrival of the train and cleared the track before the train arrived. There were no injuries or equipment damage. Safety issues included: the Conditional Stop Protection rules; the identification of the correct stopping position when a train approaches a switchlocked controlled set of points. Two safety recommendations were made to the Chief Executive of ONTRACK to address these issues","010/07, 011/07",Te Rapa
RO-2005-128,"Diesel multiple unit Train 3056, passenger injury, Papatoetoe, 31 October 2005",31 Oct 2005,12 Oct 2006,05-128,"On Monday 31 October 2005, at about 0827, a set of bi-parting doors on Train 3056, a Connex Papakura to Britomart diesel multiple unit passenger service, closed on a passenger boarding at Papatoetoe. The passenger became trapped, but was freed when the doors were prised open by a locomotive maintainer who was travelling on the train. The passenger suffered minor leg injuries. Safety issues identified included: the door control and operating mechanisms; the use of a defective safety critical component; the fault recording processes. Safety recommendations have been made to the General Manager of Veolia Transport Auckland Limited and the Chief Executive of Toll NZ Consolidated Limited to address these issues.","038/06, 039/06, 040/06",Papatoetoe
RO-2006-101,"Diesel multiple unit passenger Train 3163, fire in diesel auxiliary engine, Manurewa, 15 March 2006",15 Mar 2006,26 Jul 2007,06-101,"On Wednesday 15 March 2006 at about 1710, the auxiliary diesel engine beneath the rear car of diesel multiple unit passenger Train 3163 caught fire when lubricating oil sprayed from a loose hose connection onto the hot surface of the turbo charger. The train manager became aware of the fire when the train stopped at Manurewa station. The train was evacuated and the fire extinguished by the New Zealand Fire Service. There were no injuries.","036/06, 015/07, 016/07",Manurewa
RO-2006-102,"SA/SD passenger Train 4306, braking irregularity, between Westfield and Otahuhu, 31 March 2006",31 Mar 2006,26 Jul 2007,06-102,"On Friday 31 March 2006 at about 0520, the locomotive engineer of empty passenger Train 4306 noticed the air brake system operating below normal performance while driving the train between Westfield and Otahuhu at the start of operations for the day. After the train had reached Otahuhu, the locomotive engineer examined the brake system and decided to return to Westfield rather than continue passenger operations. There was no damage or injuries. Safety issues identified included: purging of contaminants from a locomotive’s air brake piping; scheduling the reconditioning of brake control valves; standards for tracking and monitoring safety-critical components. Because of safety actions taken by Toll NZ Consolidated Limited, no safety recommendations have been made. The Commission made a safety recommendation to the Director of Land Transport New Zealand as a result of Rail Occurrence Report 06-101, relating to the tracking and monitoring of safety-critical components. This recommendation is equally applicable to this occurrence, so no new safety recommendation has been made to address this issue.",NA,Westfield
RO-2006-105,"Incorporated into Report 07-105",13 Jun 2006,15 Sep 2010,06-105,"Between June 2006 and April 2007 the Transport Accident Investigation Commission (the Commission) launched inquiries into 5 separate platform overrun events on the Auckland suburban rail network. Because there appeared to be a number of common factors contributing to the overruns, they have been combined into this one report. All overruns involved push/pull train sets designed and modified in New Zealand from 2003 to cater for the growing needs of the Auckland transport network, pending expansion and modification of the rail infrastructure to cater for new electric train sets within 7 to 9 years. In all cases the trains were being driven by Toll Rail locomotive engineers in the push mode. There were no injuries and no damage resulting from any of the 5 incidents. In 4 of the 5 incidents the procedures for dealing with a platform overrun were followed correctly. In one of the incidents, the driver reversed his train to the platform without the required authority from train control. The driving technique of the Toll Rail locomotive engineers was a significant factor leading to the platform overruns. In particular, there was no standardised methodology taught for braking and other train-handling techniques. Trainer drivers were not taught how to teach trainee drivers and were themselves not subject to minimum levels of experience and competency before undertaking trainer duties. The Commission found that the brake system design was not ideally suited for outer-urban commuter train operations, but it was considered fit for the trains' intended purpose of outer-urban, limited-stop operations that existed in Auckland at the time. The Commission determined that the National Rail System Standard for passenger train braking distance was not relevant to the design of the network at the time, so the fact that the trains did not comply with that Standard for stopping distance was not in itself a significant safety issue. However, the fact that the trains were signed off as being compliant while they technically did not meet the Standard was a safety issue that needs addressing by the industry. The Commission has also determined that the National Rail System Standard needs to be reviewed to ensure it is consistent with good rail operating practice and is applicable to the New Zealand rail industry, and that the regulator needs to maintain a tight control over the Standard that are currently governed by the industry. This report should be read in conjunction with the Commission's previous Report 05-123, Empty passenger Train 4356, overrun of conditional stop board without authority, following an automatic air brake valve irregularity at Meadowbank on 6 October 2005. In that report the Commission commented on the design, performance and maintenance of the brake system on the push/pull fleet. Some of the findings and recommendations in Report 05-123 are equally applicable to this report. Toll Rail's interpretation of the National Rail System Standard and its decision to test the stopping performance of the push/pull sets based on single-car breakaway tests, rather than as a complete train, resulted in the Standard as written not being complied with. There was, however, an error within the Standard that had not been detected by either the operating company or the regulator until the trains had been in service for 4 years. The report makes comments on what level of regulatory oversight should be applied to the design, build and sign off for the push/pull train sets. Two recommendations have been made to the Chief Executive of the New Zealand Transport Agency to address the safety issues identified in this report about the standards of driver training and compliance with the National Rail System Standard. Three recommendations have been made to the Secretary for Transport about the status of the National Rail System Standard. The report includes inquiries 06-105 and 06-107.",NA,Manurewa
RO-2006-106,"Express freight Train 826, signalling irregularity, Cora Lynn, 31 July 2006",31 Jul 2006,25 Jun 2009,06-106,"On Monday 31 July 2006 at about 2054, eastbound express freight Train 826 stopped at Cora Lynn. Arrival Signal 10244 on the Midland Line. The arrival signal was displaying a green aspect, while at the same time the facing points were set in the reverse position and the ""L"" light was not illuminated. The locomotive engineer suspected a signalling irregularity because about 2 hours earlier he had set and locked the west-end points in the reverse position when he departed from the crossing loop on westbound Train 841. He had monitored the radio channel during the intervening time and was aware that no other trains had since passed through Cora Lynn. Safety issues identified included: the suitability of the single-line automatic signalling system for the Midland Line; the inspection and testing of the universal switch controller units; the procedures for communicating the status of main-line points at crossing stations within single-line automatic signalling territory. One safety recommendation has been made to the Chief Executive of the New Zealand Transport Agency to address these issues.",024/09,Cora Lynn
RO-2006-107,Incorporated into Report 07-105,11 Aug 2005,15 Sep 2010,06-107,"Between June 2006 and April 2007 the Transport Accident Investigation Commission (the Commission) launched inquiries into 5 separate platform overrun events on the Auckland suburban rail network. Because there appeared to be a number of common factors contributing to the overruns, they have been combined into this one report. All overruns involved push/pull train sets designed and modified in New Zealand from 2003 to cater for the growing needs of the Auckland transport network, pending expansion and modification of the rail infrastructure to cater for new electric train sets within 7 to 9 years. In all cases the trains were being driven by Toll Rail locomotive engineers in the push mode. There were no injuries and no damage resulting from any of the 5 incidents. In 4 of the 5 incidents the procedures for dealing with a platform overrun were followed correctly. In one of the incidents, the driver reversed his train to the platform without the required authority from train control. The driving technique of the Toll Rail locomotive engineers was a significant factor leading to the platform overruns. In particular, there was no standardised methodology taught for braking and other train-handling techniques. Trainer drivers were not taught how to teach trainee drivers and were themselves not subject to minimum levels of experience and competency before undertaking trainer duties. The Commission found that the brake system design was not ideally suited for outer-urban commuter train operations, but it was considered fit for the trains' intended purpose of outer-urban, limited-stop operations that existed in Auckland at the time. The Commission determined that the National Rail System Standard for passenger train braking distance was not relevant to the design of the network at the time, so the fact that the trains did not comply with that Standard for stopping distance was not in itself a significant safety issue. However, the fact that the trains were signed off as being compliant while they technically did not meet the Standard was a safety issue that needs addressing by the industry. The Commission has also determined that the National Rail System Standard needs to be reviewed to ensure it is consistent with good rail operating practice and is applicable to the New Zealand rail industry, and that the regulator needs to maintain a tight control over the Standard that are currently governed by the industry. This report should be read in conjunction with the Commission's previous Report 05-123, Empty passenger Train 4356, overrun of conditional stop board without authority, following an automatic air brake valve irregularity at Meadowbank on 6 October 2005. In that report the Commission commented on the design, performance and maintenance of the brake system on the push/pull fleet. Some of the findings and recommendations in Report 05-123 are equally applicable to this report. Toll Rail's interpretation of the National Rail System Standard and its decision to test the stopping performance of the push/pull sets based on single-car breakaway tests, rather than as a complete train, resulted in the Standard as written not being complied with. There was, however, an error within the Standard that had not been detected by either the operating company or the regulator until the trains had been in service for 4 years. The report makes comments on what level of regulatory oversight should be applied to the design, build and sign off for the push/pull train sets. Two recommendations have been made to the Chief Executive of the New Zealand Transport Agency to address the safety issues identified in this report about the standards of driver training and compliance with the National Rail System Standard. Three recommendations have been made to the Secretary for Transport about the status of the National Rail System Standard. The report includes inquiries 06-105 and 06-107.",NA,Ellerslie
RO-2006-108,"EMU Passenger Train 9268, struck slip and derailed, between Wellington and Wadestown, 26 August 2006",26 Aug 2006,18 Apr 2008,06-108,"On Saturday 26 August 2006, at 0907, the lead bogie on passenger Train 9328 derailed when it ran into landslide debris covering the track at 2.474 kilometres (km) on the Johnsonville Line between Wellington and Wadestown. Heavy rain had been falling in the area prior to the derailment. There were no injuries and only minor damage to the train and track. Safety issues identified included: regolith nature of the steep terrain above the Johnsonville Line; train control role and responsibilities; routine and special track inspections on the Johnsonville Line; risk management of the Johnsonville Line during periods of heavy rainfall. Four safety recommendations have been made to the Director of Land Transport New Zealand to deal with these issues.","003/08, 004/08, 005/08, 006/08",Wadestown
RO-2006-110,"Passenger Train 4045, uncontrolled movement, between Britomart station and Quay Park junction,",9 Oct 2006,18 Sep 2008,06-110,"On Monday 9 October 2006 at 0806, passenger Train 4045 travelled 526 metres between Britomart station and Quay Park junction with the locomotive engineer not at the controls of the train. The locomotive engineer had left the train to operate a valve to restore air-brake pressure following an uninitiated emergency brake application. Once air-brake pressure had been restored, the train began to move before the locomotive engineer re-boarded the train. There was no damage and none of the 3 crew and 12 passengers on board at the time was injured. Safety issues identified included: adherence to standard operating procedures; maintenance and testing of passenger emergency stop mechanisms; diagnosing and correcting intermittent faults on old passenger rolling stock; the provision of event recorders; monitoring fault trends for safety-critical equipment; audit performance. Four safety recommendations have been made to the Chief Executive of the New Zealand Transport Agency to address these issues.","015/08, 016/08, 017/08, 018/08",Britomart
RO-2006-111,"Express freight Train 237, derailment, Utiku, 20 October 2006",20 Oct 2006,1 Apr 2010,06-111,"At about 0640 on 20 October 2006, the sixth wagon on express freight Train 237 derailed and entered a crossing loop at Utiku, derailing 9 other wagons and bringing down a section of the overhead electric traction line as well. The derailment was caused by the dynamics of a permanently coupled pair of wagons and the design of the modified solid drawbar arrangement when the wagons behind bunched and “ran-in” while the train was under braking on a descending gradient. A safety issue identified was the incomplete process for approving a new design of coupling and monitoring its performance in service. No new safety recommendations have been made in this report as the safety issue has been raised in previous reports and safety recommendations are still currently open pending corrective action.",NA,Utiku
RO-2006-112,"Loss of airbrakes and collision, Tram 244, Christchurch , 21 November 2006",21 Nov 2006,26 Jul 2007,06-112,"On Tuesday 21 November 2006, at about 1120, Tram 244, operated by Christchurch Tramway Limited, lost its air brake after striking a traffic warning cone. The tram then collided with the rear motor vehicle in a line of cars stopped for a traffic signal. The impact pushed the car forward into a nose-to-tail collision with two cars ahead of it. The tram sustained minor damage and 3 cars were extensively damaged. There were no injuries. A safety issue identified was the lack of consultation between Christchurch City Council, its contractor and Christchurch Tramway Limited before starting road maintenance work. Safety recommendations covering this issue were made to the Chief Executive of Christchurch City Council, as principal, and the Operations Manager, Christchurch Tramway Limited. Because of the safety actions taken by Christchurch Tramway Limited to protect the air braking system following this incident, no safety recommendation to improve the system has been made. A safety recommendation was made to the Director of Land Transport that he inform other tramway operators about the lessons learned from this investigation.","001/07, 003/07, 004/07",Christchurch
RO-2007-101,"Express Freight Train 73605, derailment, Main North Line near Vernon, 6 January 2007",6 Jan 2007,13 Mar 2008,07-101,"On Friday 5 January 2007, at about 2200, the leading bogie of UK6765, the rear wagon on Christchurch to Picton express freight Train 736, derailed at 309.643 kilometres (km) on the Main North Line. The derailed wagon was dragged a further 3.5 km until it struck the south end main line points at Vernon, derailing the wagon immediately in front. The derailed wagons were pulled another kilometre before the locomotive engineer became aware of the derailed wagons and brought the train to a stop. There were no injuries. A safety issue identified was the current track and mechanical tolerance standards. In view of the safety actions since taken by Toll NZ Consolidated Limited and Ontrack in response to safety recommendations made following similar investigations by the Commission, no further safety recommendations were made.",NA,Vernon
RO-2007-102,"(Incorporating inquiry 07-111): freight train mainline derailments, various locations on the national network, from 6 March 2007 to 1 October 2009",6 Mar 2007,21 Jun 2012,07-102,"Between March 2007 and October 2009 there were 5 derailments involving container wagons conveying single 6-metre (m) containers loaded with bulk grain, positioned on the leading ends of the wagons. The Transport Accident Investigation Commission (the Commission) combined the events into a single inquiry. In 2005 the Commission made a recommendation to review the current track geometry standards and the wagon maintenance standards to ensure those standards are compatible and minimise the potential for derailments caused by dynamic interaction, where the condition of the wagon and the speed at which it is travelling interact with one or more rail track faults. This can cause the wagon to oscillate and derail (see Appendix 7 for a description of dynamic interaction). For most of the period covered by these accidents the freight train operations and track maintenance and management were with different entities. Today, responsibility for both rests with KiwiRail Limited. In 2009 KiwiRail refined the way it measured and managed track faults and prioritised their repair. In 2011 it tightened wagon wheel maintenance requirements. These improvements reduced the risk of dynamic interaction-related derailments. In 2010 KiwiRail installed acoustic bearing monitoring equipment at 3 key points on the rail network to detect failing wheel bearings before they collapsed; another cause of derailments that had resulted in a Commission recommendation. Mainline derailments have about halved during KiwiRail's tenure. The Commission believes the actions taken by KiwiRail have significantly reduced the likelihood of future occurrences similar to those that led to this inquiry. The key lessons learnt from the inquiry into these occurrences were: sufficient resources need to be put into maintaining rail track infrastructure and rolling stock if mainline derailments are to be kept as low as reasonably practicable; if the allowable tolerances for the condition of rail track and rail wagons are not compatible, dynamic interaction between the track and wagons will result in an increase in mainline derailments.",NA,Glenavy
RO-2007-103,"Passenger express Train 200, collision with stationary passenger express Train 201, National Park, 21 March 2007",21 Mar 2007,15 Oct 2009,07-103,"On Wednesday 21 March 2007, passenger express Train 200 collided with the rear of stationary passenger express Train 201 during a planned setback manoeuvre at National Park when radio communication failed. One passenger travelling in the rear passenger carriage on Train 200 received a minor injury. The buffer at the rear of the train was damaged. A safety issue identified was the reliance, during the setback movement, on a single line of communication between the locomotive engineer and the train manager piloting the train from the rear carriage. Safety actions have been taken to address the safety issue.",NA,National Park
RO-2007-105,"Push/pull passenger train sets overrunning platforms, various stations within the Auckland suburban rail network, between 9 June 2006 and 10 April 2007",10 Apr 2007,15 Sep 2010,07-105,"Between June 2006 and April 2007 the Transport Accident Investigation Commission (the Commission) launched inquiries into 5 separate platform overrun events on the Auckland suburban rail network. Because there appeared to be a number of common factors contributing to the overruns, they have been combined into this one report. All overruns involved push/pull train sets designed and modified in New Zealand from 2003 to cater for the growing needs of the Auckland transport network, pending expansion and modification of the rail infrastructure to cater for new electric train sets within 7 to 9 years. In all cases the trains were being driven by Toll Rail locomotive engineers in the push mode. There were no injuries and no damage resulting from any of the 5 incidents. In 4 of the 5 incidents the procedures for dealing with a platform overrun were followed correctly. In one of the incidents, the driver reversed his train to the platform without the required authority from train control. The driving technique of the Toll Rail locomotive engineers was a significant factor leading to the platform overruns. In particular, there was no standardised methodology taught for braking and other train-handling techniques. Trainer drivers were not taught how to teach trainee drivers and were themselves not subject to minimum levels of experience and competency before undertaking trainer duties. The Commission found that the brake system design was not ideally suited for outer-urban commuter train operations, but it was considered fit for the trains' intended purpose of outer-urban, limited-stop operations that existed in Auckland at the time. The Commission determined that the National Rail System Standard for passenger train braking distance was not relevant to the design of the network at the time, so the fact that the trains did not comply with that Standard for stopping distance was not in itself a significant safety issue. However, the fact that the trains were signed off as being compliant while they technically did not meet the Standard was a safety issue that needs addressing by the industry. The Commission has also determined that the National Rail System Standard needs to be reviewed to ensure it is consistent with good rail operating practice and is applicable to the New Zealand rail industry, and that the regulator needs to maintain a tight control over the Standard that are currently governed by the industry. This report should be read in conjunction with the Commission's previous Report 05-123, Empty passenger Train 4356, overrun of conditional stop board without authority, following an automatic air brake valve irregularity at Meadowbank on 6 October 2005. In that report the Commission commented on the design, performance and maintenance of the brake system on the push/pull fleet. Some of the findings and recommendations in Report 05-123 are equally applicable to this report. Toll Rail's interpretation of the National Rail System Standard and its decision to test the stopping performance of the push/pull sets based on single-car breakaway tests, rather than as a complete train, resulted in the Standard as written not being complied with. There was, however, an error within the Standard that had not been detected by either the operating company or the regulator until the trains had been in service for 4 years. The report makes comments on what level of regulatory oversight should be applied to the design, build and sign off for the push/pull train sets. Two recommendations have been made to the Chief Executive of the New Zealand Transport Agency to address the safety issues identified in this report about the standards of driver training and compliance with the National Rail System Standard. Three recommendations have been made to the Secretary for Transport about the status of the National Rail System Standard. The report includes inquiries 06-105 and 06-107.","033/10, 034/10, 035/10, 031/10, 032/10",Meadowbank
RO-2007-108,"Express freight Train 720, track warrant overrun at Seddon, Main North Line, 12 May 2007",12 May 2007,16 Apr 2009,07-108,"On Saturday 12 May 2007, at 0400, northbound express freight Train 720 travelled past Seddon towards Vernon on the Main North Line without the authority of a track warrant issued from train control. The locomotive engineer did not stop on the main line at Seddon as required and obtain a new track warrant to travel beyond Seddon. Southbound Train 723 was sitting on the loop when Train 720 passed through Seddon. There were no other conflicting movements and as a result there was no damage or injury. Safety issues identified were: management of fatigue in train operations; detecting sleep disorders; locomotive engineer vigilance systems; crew resource management; monitoring of rail vehicles on non-track-circuited sections of the controlled network. Four safety recommendations have been made to the Chief Executive of the New Zealand Transport Agency to address theses issues.","002/09, 003/09, 004/09, 005/09",Seddon
RO-2007-110,"Collision, express freight Train MP2 and Work Train 22, Ohinewai, 19 June 2007",19 Jun 2007,16 Oct 2008,07-110,"On Tuesday 19 June 2007 at about 1105, express freight Train MP2 was travelling between Huntly and Te Kauwhata when it struck a gantry crane from Work Train 22. Work Train 22 was stationary and was working on the adjacent Down Main line with its cranes fouling the Up Main line. The gantry swung around and struck one of the crane operators, knocking him from the wagon and under the passing train. The operator was fatally injured. The safety issues identified included: the unfamiliarity of staff working in double-line territory; the absence of an appropriate induction for the person-in-charge and the rail recovery unit operators prior to working in double-line territory; the absence of a hazard analysis and task briefing prior to starting work on the day; the absence of any worksite protection on the adjacent main line; unclear procedures regarding the application of appropriate protection rules; the level of auditing or regulatory oversight of the safety system. Seven safety recommendations covering these issues have been made to the Chief Executive of the New Zealand Transport Agency (formerly Land Transport New Zealand).","024/08, 025/08, 026/08, 027/08, 028/08, 029/08, 030/08, 031/08",Ohinewai
RO-2007-111,"(Incorporating inquiry 07-102): freight train mainline derailments, various locations on the national network, from 6 March 2007 to 1 October 2009",28 Jul 2007,21 Jun 2012,07-111,"Between March 2007 and October 2009 there were 5 derailments involving container wagons conveying single 6-metre (m) containers loaded with bulk grain, positioned on the leading ends of the wagons. The Transport Accident Investigation Commission (the Commission) combined the events into a single inquiry. In 2005 the Commission made a recommendation to review the current track geometry standards and the wagon maintenance standards to ensure those standards are compatible and minimise the potential for derailments caused by dynamic interaction, where the condition of the wagon and the speed at which it is travelling interact with one or more rail track faults. This can cause the wagon to oscillate and derail (see Appendix 7 for a description of dynamic interaction). For most of the period covered by these accidents the freight train operations and track maintenance and management were with different entities. Today, responsibility for both rests with KiwiRail Limited. In 2009 KiwiRail refined the way it measured and managed track faults and prioritised their repair. In 2011 it tightened wagon wheel maintenance requirements. These improvements reduced the risk of dynamic interaction-related derailments. In 2010 KiwiRail installed acoustic bearing monitoring equipment at 3 key points on the rail network to detect failing wheel bearings before they collapsed; another cause of derailments that had resulted in a Commission recommendation. Mainline derailments have about halved during KiwiRail's tenure. The Commission believes the actions taken by KiwiRail have significantly reduced the likelihood of future occurrences similar to those that led to this inquiry. The key lessons learnt from the inquiry into these occurrences were: sufficient resources need to be put into maintaining rail track infrastructure and rolling stock if mainline derailments are to be kept as low as reasonably practicable; if the allowable tolerances for the condition of rail track and rail wagons are not compatible, dynamic interaction between the track and wagons will result in an increase in mainline derailments.",NA,Ngaurukehu
RO-2007-113,"Express freight Train 239, wagons left in section at 514.9km, between Te Awamutu and Te Kawa, 22 September 2007",22 Sep 2007,12 Jan 2009,07-113,"At about 1915 on Saturday 22 September 2007, southbound express freight Train 239 parted between the 22nd and 23rd wagons while the train was travelling on the North Island Main Trunk line between Te Awamutu and Te Kawa. The emergency brakes applied automatically as the air pressure in the brake pipe reduced and both portions of the train rolled to a stop, some distance apart. The locomotive engineer went back to examine the train and saw that there was no train end monitor attached to the last wagon. Thinking this was the last wagon on the train and that the loss of the train end monitor was responsible for the loss of air in the brake pipe, he advised train control and continued, leaving behind the rear 10 wagons. These wagons were found some time later by the locomotive engineer of a following train who was following at caution on instruction from train control, because the section of track was showing as occupied on the train control centralised traffic control panel. There were no injuries and no damage to the train or infrastructure. The safety issues identified included: the manual overriding of a correctly operating signalling system; failure to establish beyond reasonable doubt the cause of the brake pipe air loss; failure to ensure beyond reasonable doubt that the Te Awamutu – Te Kawa block section was unoccupied before a train was authorised to enter the block section; the poor level of training in and application of crew resource management within the rail industry; the response of train controllers to operating incidents. One safety recommendation covering these issues has been made to the Chief Executive of the New Zealand Transport Agency.","033/08, 001/09",Te Awamutu
RO-2007-114,"Derailment caused by a wheel-bearing failure, Huntly, 19 October 2007, and 11 subsequent wheel-bearing failures at various locations during the following 12 month period",19 Oct 2007,9 Dec 2010,07-114,"Between Friday 19 October 2007 and Sunday 5 October 2008, there were 12 occurrences when wheel-bearings failed on wagons travelling on express freight trains at various locations in the North and South Island. Seven of the 12 wheel-bearing failures resulted in the affected wagon derailing, and causing a number of following wagons to also derail. The derailments caused extensive damage to the rolling stock, freight it was conveying and the rail network. On 2 occasions, molten metal from the failed wheel-bearings resulted in fires in trackside foliage and across adjacent land. No-one was injured in any of the derailments. The Commission determined that wheel-bearings were critical items, the failure of which had the potential to result in a derailment. The derailments usually resulted in substantial damage to track and infrastructure, and have the potential to cause injury to third parties if the derailment occurs adjacent to populated areas or other infrastructure. The reason for the failures of the wheel-bearings could not be conclusively determined because the bearings had usually catastrophically failed, destroying the evidence and historically inadequate record-keeping for maintenance and service life of the bearings that could not support probable cause investigation. Because the impending failure of wheel-bearings can be difficult to detect through traditional inspection procedures, the Commission recommended to the Chief Executive of the Land Transport NZ (predecessor to NZ Transport Agency) on 8 March 2008 that he address the safety issue where the New Zealand rail network had not been protected with a track-side acoustic wheel-bearing monitoring system in line with current international best practice. In the latter half of 2010, KiwiRail was completing the installation of an integrated acoustic wheel-bearing monitoring, coupled in motion weighbridge, wheel impact and automatic vehicle identification system at strategic sites on its network. The Safety Action section of the report shows a number of other initiatives that have been taken by KiwiRail since 2008, which together with the acoustic wheel-bearing monitoring system appears to have reduced the number of reported",008/08,Huntly
RO-2007-115,"Express freight Train 533, derailment, 103.848 kilometres, near Tokirima, Stratford Okahukura Line, 7 November 2007",7 Nov 2007,24 Sep 2009,07-115,"On Wednesday 7 November 2007, at about 0140, the trailing bogie of wagon UK10696, on Auckland to New Plymouth express freight Train 533, derailed at 103.848 kilometres (km) on the Stratford - Okahukura Line. The derailed wagon was dragged a further 2.75 km until the leading bogie also derailed. The wagon tipped on its side, derailing the wagon immediately in front and behind it. There were no injuries. The cause of the derailment was not conclusively established, but the circumstances point to dynamic interaction between the track and the wagon, with the condition of both being at the upper limits of their working tolerances being a factor. Safety issues identified included: recurrent derailments resulting from a combination of track geometry and wagon bogie condition at or near current maintenance limits; the quality and consistency of documented standards, rules and codes relating to the handling of derailed wagons conveying liquid petroleum gas tanks; the emergency response to the derailment. Three safety recommendations have been made to the Chief Executive of the New Zealand Transport Agency to deal with these safety issues.","029/09, 030/09, 031/09",Tokirima
RO-2008-101,"Express freight train 923, level crossing collision and resultant derailment, Orari, 14 March 2008",14 Mar 2008,10 Jun 2010,08-101,"At about 1149 on Friday 14 March 2008, southbound express freight Train 923 collided with a truck on Hawke Road level crossing, Orari, between Rangitata and Temuka on the Main South Line, when the truck moved into the path of the approaching train. The level crossing had passive control ""Stop"" signage. All signage and road markings were in place and in good condition. The collision caused the locomotive to derail and roll before coming to rest 172 metres (m) past the level crossing. Twelve wagons directly behind the locomotive also derailed. The locomotive and 10 wagons were extensively damaged. The other two derailed wagons sustained moderate damage. The truck was extensively damaged. The truck driver was fatally injured and the locomotive engineer suffered serious injury. No safety deficiencies in the rail operating system were identified that contributed to the collision. A safety recommendation was made to the Chief Executive of the NZ Transport Agency to address the issue of the capability of the locomotive event recorder to transmit in the event of an accident.",007/10,Orari
